flight_num,image_label,label_num,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,current_speed,commanded_speed,time_to_collision,safe_frame_start,total_frames
,,,,,,,,,,,,,
0,safe,0,1.626542926,2.439713955,-0.008918088,-0.000152895,0.001671429,-0.000632339,2.932221957,3,1200025600,73,93
,,,,,,,,,,,,,
0,safe,1,1.626930833,2.440269232,-0.00846489,-0.000144865,0.001568856,-0.000635395,2.932897801,3,1149024512,73,93
,,,,,,,,,,,,,
0,safe,2,1.627299547,2.440787792,-0.008033464,-0.000134583,0.001474472,-0.000633858,2.93353258,3,1098023424,73,93
,,,,,,,,,,,,,
0,safe,3,1.627650023,2.441271782,-0.007622978,-0.00012739,0.001384013,-0.00062995,2.934128596,3,1047022336,73,93
,,,,,,,,,,,,,
0,safe,4,1.627983689,2.441723585,-0.007232456,-0.000119142,0.001301788,-0.000621381,2.934688615,3,996021248,73,93
,,,,,,,,,,,,,
0,danger,0,1.630765796,2.445055962,-0.004028885,-5.32E-06,0.000651429,-0.000397498,2.938998463,3,435009280,73,93
,,,,,,,,,,,,,
0,danger,1,1.630943298,2.445236444,-0.003830702,-2.26E-06,0.000612889,-0.000370747,2.93924684,3,387008256,73,93
,,,,,,,,,,,,,
0,danger,2,1.631113052,2.445405006,-0.003642055,1.04E-05,0.000578085,-0.000343426,2.939481026,3,339007232,73,93
,,,,,,,,,,,,,
0,danger,3,1.631285071,2.445571661,-0.003451556,1.70E-05,0.000542229,-0.000314075,2.939714892,3,288006144,73,93
,,,,,,,,,,,,,
0,danger,4,1.631449103,2.445726633,-0.003270858,2.89E-05,0.000509521,-0.000283651,2.939934632,3,237005056,73,93
,,,,,,,,,,,,,
1,safe,0,-2.638564587,0.26836291,-0.059788205,0.002656368,0.043723706,-0.000291295,2.65285061,3,738015744,12,23
,,,,,,,,,,,,,
1,safe,1,-2.656278133,0.270212859,-0.060475927,0.002508592,0.041048404,-0.001288351,2.670671423,3,687014656,12,23
,,,,,,,,,,,,,
1,safe,2,-2.673843384,0.27204451,-0.060834832,0.002366953,0.038372986,-0.002030256,2.688335458,3,633013504,12,23
,,,,,,,,,,,,,
1,safe,3,-2.68849349,0.273569405,-0.060869426,0.00224694,0.036147799,-0.002424117,2.7030617,3,585012480,12,23
,,,,,,,,,,,,,
1,safe,4,-2.703128099,0.275089264,-0.060645889,0.00211848,0.033939999,-0.002594508,2.717766279,3,534011392,12,23
,,,,,,,,,,,,,
1,danger,0,-2.729753733,0.277842522,-0.059521772,0.001877918,0.029900521,-0.002308435,2.744502642,3,432009216,12,23
,,,,,,,,,,,,,
1,danger,1,-2.741853952,0.279087126,-0.05867812,0.001773342,0.028064247,-0.001939453,2.756645759,3,381008128,12,23
,,,,,,,,,,,,,
1,danger,2,-2.75321269,0.280250609,-0.057681512,0.001671961,0.026344324,-0.001477662,2.768040404,3,330007040,12,23
,,,,,,,,,,,,,
1,danger,3,-2.763876677,0.281337798,-0.056555085,0.001578052,0.02472399,-0.000967009,2.778734193,3,279005952,12,23
,,,,,,,,,,,,,
1,danger,4,-2.773888588,0.282353282,-0.055319682,0.001488031,0.023213552,-0.000444084,2.788770615,3,228004864,12,23
,,,,,,,,,,,,,
2,safe,0,-0.588508964,-2.287265062,-0.017835084,-0.002799718,0.0863581,-0.006933367,2.361830298,3,837017856,7,20
,,,,,,,,,,,,,
2,safe,1,-0.597371042,-2.32204771,-0.025041532,-0.002702144,0.081293643,-0.007647199,2.397787482,3,786016768,7,20
,,,,,,,,,,,,,
2,safe,2,-0.605205953,-2.352803469,-0.031089824,-0.002609529,0.076767586,-0.007833364,2.429593584,3,738015744,7,20
,,,,,,,,,,,,,
2,safe,3,-0.613026202,-2.383503914,-0.03676809,-0.002514528,0.072200127,-0.007596403,2.461350021,3,687014656,7,20
,,,,,,,,,,,,,
2,safe,4,-0.620359242,-2.412289858,-0.041714069,-0.002419284,0.067875341,-0.007001003,2.491129866,3,636013568,7,20
,,,,,,,,,,,,,
2,danger,0,-0.645413578,-2.51058054,-0.055051655,-0.002031138,0.052865349,-0.002968719,2.592798491,3,432009216,7,20
,,,,,,,,,,,,,
2,danger,1,-0.650741279,-2.531452656,-0.057002626,-0.001931124,0.049640775,-0.001952107,2.614376802,3,381008128,7,20
,,,,,,,,,,,,,
2,danger,2,-0.655742347,-2.551028252,-0.058490593,-0.001828621,0.046614554,-0.001050812,2.634608949,3,330007040,7,20
,,,,,,,,,,,,,
2,danger,3,-0.660437882,-2.56938839,-0.059558455,-0.00173916,0.043745689,-0.000296957,2.653579112,3,279005952,7,20
,,,,,,,,,,,,,
2,danger,4,-0.664847791,-2.586610794,-0.060247324,-0.001648091,0.04106167,0.000290699,2.671368137,3,228004864,7,20
,,,,,,,,,,,,,
3,safe,0,2.642941952,-0.833692372,-0.057057086,-0.000159217,0.025704097,0.000158873,2.77190199,3,2649056512,27,76
,,,,,,,,,,,,,
3,safe,1,2.652911663,-0.836834252,-0.055890966,-0.000150549,0.024127485,0.000104891,2.782329178,3,2598055424,27,76
,,,,,,,,,,,,,
3,safe,2,2.662272692,-0.839784443,-0.054624077,-0.000141738,0.022654979,5.14E-05,2.792117044,3,2547054336,27,76
,,,,,,,,,,,,,
3,safe,3,2.671062469,-0.842555046,-0.053274687,-0.000134251,0.021265756,1.58E-06,2.801305395,3,2496053248,27,76
,,,,,,,,,,,,,
3,safe,4,2.679316521,-0.845156908,-0.051859215,-0.000127048,0.019962002,-4.24E-05,2.809931778,3,2445052160,27,76
,,,,,,,,,,,,,
3,danger,0,2.79607439,-0.882105529,-0.009031463,-2.65E-06,0.00169988,3.61E-06,2.93193174,3,438009344,27,76
,,,,,,,,,,,,,
3,danger,1,2.796732664,-0.882315755,-0.008572976,-1.45E-06,0.001596857,6.41E-06,2.932621384,3,387008256,27,76
,,,,,,,,,,,,,
3,danger,2,2.797350645,-0.882513225,-0.008136781,-8.05E-07,0.001498643,8.84E-06,2.933268899,3,336007168,27,76
,,,,,,,,,,,,,
3,danger,3,2.797931194,-0.882698655,-0.007721689,-8.73E-08,0.001408697,1.10E-05,2.933877214,3,285006080,27,76
,,,,,,,,,,,,,
3,danger,4,2.798475742,-0.882872701,-0.00732686,3.64E-07,0.001324833,1.29E-05,2.934447881,3,234004992,27,76
,,,,,,,,,,,,,
4,danger,0,-1.411677718,1.987662554,-0.032951977,0.002859448,0.075371884,0.008814017,2.438180108,3,438009344,-1,8
,,,,,,,,,,,,,
4,danger,1,-1.429654479,2.013065338,-0.038414013,0.002744989,0.070904881,0.008379748,2.469376363,3,387008256,-1,8
,,,,,,,,,,,,,
4,danger,2,-1.446508408,2.036888361,-0.043155424,0.00263097,0.066679105,0.007551441,2.498632258,3,336007168,-1,8
,,,,,,,,,,,,,
4,danger,3,-1.461408496,2.05795455,-0.046999648,0.002521509,0.062872134,0.006516294,2.524500087,3,288006144,-1,8
,,,,,,,,,,,,,
4,danger,4,-1.47458005,2.07658124,-0.050091557,0.002423377,0.059504073,0.005408196,2.547368276,3,243005184,-1,8
,,,,,,,,,,,,,
5,safe,0,1.485820174,-1.269955397,0.073431246,-0.001766488,0.138274968,0.007513851,1.955975574,3,795016960,0,12
,,,,,,,,,,,,,
5,safe,1,1.532109141,-1.309313059,0.059741326,-0.001667852,0.131200701,0.005872211,2.01624109,3,744015872,0,12
,,,,,,,,,,,,,
5,safe,2,1.575628161,-1.346310973,0.04662003,-0.001582364,0.124300182,0.004157589,2.073000426,3,693014784,0,12
,,,,,,,,,,,,,
