flight_num,image_label,label_num,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,current_speed,commanded_speed,time_to_collision,safe_frame_start,total_frames
,,,,,,,,,,,,,
0,safe,0,-2.738670111,0.920541286,-0.037655775,0.000580351,0.009893567,0.001258786,2.889485801,3,2124045312,42,80
,,,,,,,,,,,,,
0,safe,1,-2.742222071,0.921654284,-0.036008358,0.000546911,0.009251381,0.001093527,2.893185978,3,2073044224,42,80
,,,,,,,,,,,,,
0,safe,2,-2.745543718,0.922688603,-0.034406833,0.000485761,0.00864216,0.000923283,2.896644334,3,2022043136,42,80
,,,,,,,,,,,,,
0,safe,3,-2.748650074,0.923649848,-0.032852653,0.000436014,0.008080902,0.000759702,2.899876819,3,1971042048,42,80
,,,,,,,,,,,,,
0,safe,4,-2.75155592,0.924543381,-0.031347688,0.000396702,0.00755178,0.000608638,2.902899089,3,1920040960,42,80
,,,,,,,,,,,,,
0,danger,0,-2.787312746,0.935152173,-0.006848319,-6.16E-05,0.001084125,-0.000347948,2.940011706,3,450009600,42,80
,,,,,,,,,,,,,
0,danger,1,-2.787694931,0.935283065,-0.006475363,-6.06E-05,0.001013439,-0.00035645,2.94041483,3,399008512,42,80
,,,,,,,,,,,,,
0,danger,2,-2.788051128,0.935408235,-0.006121919,-5.86E-05,0.000948418,-0.000361978,2.940791584,3,348007424,42,80
,,,,,,,,,,,,,
0,danger,3,-2.788383484,0.93552804,-0.005787173,-5.72E-05,0.000885015,-0.000363557,2.941144107,3,297006336,42,80
,,,,,,,,,,,,,
0,danger,4,-2.788692951,0.935642898,-0.005470181,-5.26E-05,0.000828217,-0.000362501,2.941473429,3,246005248,42,80
,,,,,,,,,,,,,
1,safe,0,1.064530611,2.688030958,-0.03699325,0.00018547,0.009588702,0.000742938,2.891384505,3,2166046208,32,71
,,,,,,,,,,,,,
1,safe,1,1.065700531,2.6912148,-0.03545431,0.000156554,0.008994122,0.000639659,2.894755901,3,2118045184,32,71
,,,,,,,,,,,,,
1,safe,2,1.066794634,2.69420433,-0.033956815,0.000129054,0.008446143,0.000537167,2.897920087,3,2070044160,32,71
,,,,,,,,,,,,,
1,safe,3,1.067879438,2.69718051,-0.032412812,0.000105858,0.007892877,0.000432308,2.901068732,3,2019043072,32,71
,,,,,,,,,,,,,
1,safe,4,1.068889618,2.699963093,-0.030918723,8.24E-05,0.007379049,0.000334803,2.904011309,3,1968041984,32,71
,,,,,,,,,,,,,
1,danger,0,1.081535935,2.734413147,-0.006313679,-6.56E-05,0.000975378,-0.000395737,2.940539933,3,441009408,32,71
,,,,,,,,,,,,,
1,danger,1,1.081690073,2.73474288,-0.005968778,-5.71E-05,0.000911186,-0.000388892,2.940902525,3,390008320,32,71
,,,,,,,,,,,,,
1,danger,2,1.081837177,2.735049725,-0.005642198,-5.23E-05,0.000851714,-0.000379095,2.941241321,3,339007232,32,71
,,,,,,,,,,,,,
1,danger,3,1.081977844,2.73533535,-0.005332962,-4.34E-05,0.000795723,-0.000367114,2.941558086,3,288006144,32,71
,,,,,,,,,,,,,
1,danger,4,1.082112312,2.735601187,-0.005040339,-4.11E-05,0.000743923,-0.000353518,2.941854231,3,237005056,32,71
,,,,,,,,,,,,,
2,safe,0,-1.208085775,-2.613331556,-0.041798506,-0.000503874,0.011652136,-0.001064288,2.879361071,3,1242026496,33,54
,,,,,,,,,,,,,
2,safe,1,-1.209957361,-2.617290735,-0.040054563,-0.000466058,0.010890007,-0.00098232,2.883714961,3,1191025408,33,54
,,,,,,,,,,,,,
2,safe,2,-1.211710572,-2.620989561,-0.038347818,-0.000434282,0.010177191,-0.000881572,2.887784505,3,1140024320,33,54
,,,,,,,,,,,,,
2,safe,3,-1.212785244,-2.623252392,-0.037265267,-0.000409985,0.009745564,-0.000810506,2.890275049,3,1107023616,33,54
,,,,,,,,,,,,,
2,safe,4,-1.214359879,-2.626559496,-0.035628587,-0.000378438,0.009106014,-0.000696988,2.89391674,3,1056022528,33,54
,,,,,,,,,,,,,
2,danger,0,-1.227005601,-2.652687311,-0.01987659,-0.000101644,0.004072541,-2.60E-05,2.922787675,3,447009536,33,54
,,,,,,,,,,,,,
2,danger,1,-1.227682471,-2.654058456,-0.018872041,-8.10E-05,0.003807457,-2.60E-05,2.92430961,3,396008448,33,54
,,,,,,,,,,,,,
2,danger,2,-1.228316188,-2.655339241,-0.017912075,-7.27E-05,0.003559457,-2.66E-05,2.925732043,3,345007360,33,54
,,,,,,,,,,,,,
2,danger,3,-1.228909492,-2.656536102,-0.016995156,-6.00E-05,0.003327186,-2.65E-05,2.927061912,3,294006272,33,54
,,,,,,,,,,,,,
